Title,Description
The Three Deaths of Marisela Escobedo,"After the death of her daughter at the hand of her boyfriend, Marisela Escobedo began to fight for justice not only against the murderer but also against the corrupt Mexican judicial system."
Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town, she learns that their support has a price."
Scenes from a Marriage,"A chronicle of the many years of love and turmoil that bind a contemporary American couple, tracking their relationship as it progresses through a number of successive stages: matrimony, parenthood, infidelity, divorce and subsequent partnerships."
Out-Takes from the Life of a Happy Man,"An autobiographical diary film assembled from unused footage shot between 1960 and 2000, interwoven with reflections, music, and glimpses of family, friends, city life, and travel. Mekas transforms these fragments into a poetic celebration of memory, happiness, and the passing of time."
Rio Bravo,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
In the Name of the Father,"A small-time Belfast thief, Gerry Conlon, is wrongly convicted of an IRA bombing in London, along with his father and friends, and spends 15 years in prison fighting to prove his innocence."
The Long Goodbye,"In 1970s Hollywood, Detective Philip Marlowe tries to help a friend who is accused of murdering his wife."
Day for Night,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew."
This World Can't Tear Me Down,"When an old friend returns to the neighborhood, Zerocalcare wants to help him find his place back in the world. But what's the right thing to do?"
Ulysses' Gaze,An exiled filmmaker finally returns to his home country where former mysteries and afflictions of his early life come back to haunt him once more.
Hope,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief."
Cléo from 5 to 7,"Agnès Varda eloquently captures Paris in the sixties with this real-time portrait of a singer set adrift in the city as she awaits test results of a biopsy. A chronicle of the minutes of one woman’s life, Cléo from 5 to 7 is a spirited mix of vivid vérité and melodrama, featuring a score by Michel Legrand and cameos by Jean-Luc Godard and Anna Karina."
Green Day: Bullet in a Bible,"Bullet in a Bible documents one of the two biggest shows that Green Day have performed in their career. They played in front of a crowd of over 130,000 people at the Milton Keynes National Bowl in United Kingdom on June 18–19, 2005. The band was supported by Jimmy Eat World, Taking Back Sunday, and Hard-Fi during their American Idiot world tour. Fourteen of the twenty songs performed at these shows were included on the disc; missing out ""Jaded"", ""Knowledge"", ""She"", ""Maria"", ""Homecoming"" and ""We Are The Champions"". Bullet in a Bible was released as a double-LP set on November 10, 2009, as part of the band's 2009 vinyl re-release campaign."
Diabolique,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears."
Bo Burnham: The Inside Outtakes,"Exactly one year after the release of the one man show, ""Bo Burnham: Inside"" (made in one room, by one person, throughout the pandemic,) comes a series of unseen outtakes, deleted scenes, alternative versions of songs, and new songs unused from the special."
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","During the same summer as Woodstock, over 300,000 people attended the Harlem Cultural Festival, celebrating African American music and culture, and promoting Black pride and unity. The footage from the festival sat in a basement, unseen for over 50 years, keeping this incredible event in America's history lost — until now."
What It Feels Like for a Girl,"To find yourself, sometimes you need to lose yourself. It's Y2K, and Byron's flirting with discovery and destruction, love and anarchy. Inspired by Paris Lees's raw, riotous memoir."
Stand Up Solutions,Richard Eagleton's intense pitch of an AI comedy startup goes wrong when his marital problems are revealed live.
Won't You Be My Neighbor?,"For more than thirty years, and through his television program, Fred Rogers (1928-2003), host, producer, writer and pianist, accompanied by his puppets and his many friends, spoke directly to young children about some of life's most important issues."
The Shop Around the Corner,"Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal."
Sunrise: A Song of Two Humans,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife."
"The Cook, the Thief, His Wife & Her Lover",The wife of an abusive criminal finds solace in the arms of a kind regular guest in her husband's restaurant.
A Very Potter Musical,"In April 2009, a group of University of Michigan students (Team StarKid) performed what was renamed ""A Very Potter Musical"", a two act musical parody that featured major elements from all seven Harry Potter books and an original score."
